                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     73,               0.026464,               0.031943,               0.062518,                      0,                 0.8328,                 0.7982,                0.85044,                0.61758,                0.86304,                0.72436,                0.81563,                0.53332,               0.031354,               0.036582,               0.046961,                      0,               0.002872,               0.002872,               0.002872
                     74,               0.024953,               0.031323,               0.062695,                      0,                0.83868,                0.78316,                0.84084,                0.61861,                0.85198,                0.73794,                0.80231,                0.53692,               0.030737,               0.036468,               0.047326,                      0,               0.002773,               0.002773,               0.002773
                     75,               0.025383,               0.031829,               0.061339,                      0,                 0.8698,                0.76282,                0.84049,                0.62486,                 0.8608,                   0.75,                0.79889,                0.54191,               0.030636,               0.036234,               0.049324,                      0,               0.002674,               0.002674,               0.002674
                     76,               0.025599,               0.031895,               0.064525,                      0,                0.85551,                0.76923,                0.84359,                0.63063,                0.86746,                 0.7342,                 0.8132,                0.54486,               0.029638,               0.035443,               0.048278,                      0,               0.002575,               0.002575,               0.002575
                     77,               0.025329,               0.029964,               0.058704,                      0,                0.87642,                0.76282,                 0.8527,                0.63852,                0.85701,                   0.75,                0.81923,                0.55256,               0.028438,               0.034956,               0.046575,                      0,               0.002476,               0.002476,               0.002476
                     78,               0.024536,               0.031133,               0.058587,                      0,                0.84439,                0.78265,                0.84839,                0.63335,                0.85713,                0.74993,                0.81663,                 0.5492,               0.029027,                0.03668,               0.047126,                      0,               0.002377,               0.002377,               0.002377
                     79,               0.025523,               0.031588,               0.057644,                      0,                 0.8566,                0.80411,                0.85638,                0.64832,                0.84831,                0.77564,                  0.826,                 0.5573,               0.027879,               0.035195,               0.045849,                      0,               0.002278,               0.002278,               0.002278
                     80,               0.024114,               0.031123,                0.05909,                      0,                 0.8793,                0.79386,                0.86071,                0.63971,                0.86246,                0.76282,                0.83308,                 0.5581,               0.028357,               0.035146,                0.04572,                      0,               0.002179,               0.002179,               0.002179
                     81,               0.024611,               0.031183,               0.058021,                      0,                 0.8674,                 0.7967,                0.87185,                 0.6576,                0.88342,                0.75962,                 0.8367,                 0.5726,               0.028038,               0.034866,               0.044431,                      0,                0.00208,                0.00208,                0.00208
                     82,               0.023533,               0.030927,               0.056538,                      0,                0.87923,                0.80128,                 0.8763,                 0.6666,                0.87101,                0.77911,                0.84563,                0.58519,                0.02751,               0.034433,               0.043474,                      0,               0.001981,               0.001981,               0.001981
                     83,               0.023747,               0.029261,               0.057968,                      0,                0.83132,                0.85256,                0.87258,                0.65898,                0.86169,                0.78205,                0.84634,                   0.58,                0.02802,               0.034899,               0.044354,                      0,               0.001882,               0.001882,               0.001882
                     84,               0.023651,               0.030918,               0.059835,                      0,                0.84966,                0.81731,                0.86123,                0.65182,                0.88975,                0.75641,                0.83063,                0.56647,               0.028654,               0.035582,               0.045802,                      0,               0.001783,               0.001783,               0.001783
                     85,               0.022637,               0.031111,               0.056496,                      0,                0.83165,                0.82336,                0.85334,                0.64298,                0.82914,                0.77767,                0.82405,                0.56575,               0.028754,               0.035504,               0.046331,                      0,               0.001684,               0.001684,               0.001684
                     86,               0.022581,                0.03024,               0.054254,                      0,                0.85686,                0.80582,                0.85528,                0.63702,                0.84362,                0.78205,                0.82389,                0.56322,               0.029089,               0.035336,               0.047031,                      0,               0.001585,               0.001585,               0.001585
                     87,               0.022755,               0.030695,               0.055684,                      0,                0.86511,                0.80128,                0.85732,                0.64165,                0.85174,                0.77564,                0.82289,                0.56545,                0.02918,               0.035196,               0.046763,                      0,               0.001486,               0.001486,               0.001486
                     88,               0.023418,               0.030522,                0.05667,                      0,                0.88221,                0.79222,                0.85624,                0.64659,                0.86723,                0.76282,                0.82176,                0.56397,               0.029051,               0.035053,               0.046686,                      0,               0.001387,               0.001387,               0.001387
                     89,               0.022605,               0.029623,               0.056645,                      0,                0.86051,                0.80128,                0.85394,                 0.6374,                0.86772,                0.76923,                0.82674,                 0.5573,               0.029239,               0.034695,               0.047536,                      0,               0.001288,               0.001288,               0.001288
                     90,               0.022825,               0.030016,               0.053249,                      0,                0.86798,                0.80076,                0.85705,                0.64475,                0.86186,                0.77244,                0.82574,                0.56747,               0.029122,               0.034636,               0.047555,                      0,               0.001189,               0.001189,               0.001189
                     91,               0.022181,               0.029863,               0.055753,                      0,                 0.8632,                0.82051,                0.86798,                0.65179,                0.84631,                0.79425,                 0.8342,                0.56843,               0.028264,               0.034062,               0.046247,                      0,                0.00109,                0.00109,                0.00109
                     92,               0.021841,               0.029934,               0.058489,                      0,                0.87109,                0.83013,                 0.8727,                0.66413,                0.86126,                0.81579,                0.84372,                0.57758,               0.027862,               0.033527,               0.044713,                      0,               0.000991,               0.000991,               0.000991
                     93,               0.022533,               0.029108,               0.057629,                      0,                0.84781,                0.84295,                0.87505,                0.66971,                0.85634,                0.82156,                0.84716,                0.58505,                0.02736,               0.033317,               0.043906,                      0,               0.000892,               0.000892,               0.000892
                     94,               0.023119,               0.029107,               0.053753,                      0,                 0.8559,                0.83013,                 0.8755,                0.66097,                 0.8372,                 0.8241,                0.84907,                0.57834,               0.027559,               0.033478,               0.043891,                      0,               0.000793,               0.000793,               0.000793
                     95,               0.022814,               0.029025,               0.052469,                      0,                0.85373,                0.84182,                0.87443,                0.65916,                0.83754,                0.82618,                0.84694,                0.57328,               0.027731,               0.033725,               0.044519,                      0,               0.000694,               0.000694,               0.000694
                     96,               0.021703,               0.030663,               0.059013,                      0,                0.85713,                 0.8461,                0.87135,                0.65953,                0.86655,                0.78205,                0.83389,                0.57495,               0.027787,               0.034052,                0.04493,                      0,               0.000595,               0.000595,               0.000595
                     97,               0.022661,               0.030091,               0.058455,                      0,                0.86158,                0.83333,                0.87152,                0.66181,                0.87317,                0.76923,                0.83416,                0.57386,               0.027747,               0.034032,               0.045034,                      0,               0.000496,               0.000496,               0.000496
                     98,               0.021339,               0.030237,               0.055951,                      0,                0.87758,                0.82711,                0.86964,                 0.6636,                0.87229,                0.76923,                0.83047,                0.57147,               0.027736,               0.033993,               0.045205,                      0,               0.000397,               0.000397,               0.000397
                     99,               0.021852,               0.029052,               0.054359,                      0,                0.87023,                0.82692,                0.87167,                0.66255,                0.88091,                0.75868,                0.83129,                 0.5706,               0.027561,               0.033844,               0.044988,                      0,               0.000298,               0.000298,               0.000298
                    100,                0.84837,                0.84287,                0.87499,                0.67023,                0.85656,                0.82372,                0.84706,                0.58581,               0.027356,                0.03332,               0.043906,                      0
